instance_seed,method,distance,valid,vehicles_used,latency_ms,improvement_pct_vs_nearest_neighbor
42200000006,nearest_neighbor,5.546964461951385,True,3,0.408500010962598,0.0
42200000006,nearest_neighbor_2opt,5.09942613702755,True,3,0.82230000407435,8.068166435780505
42200000006,initial_policy,5.546964461951385,True,3,46.92349999095313,0.0
42200000006,gnn_reinforce,4.857673479292185,True,3,45.9300000075018,12.426453917044064
42200000006,gnn_reinforce_2opt,4.857673479292185,True,3,46.12160001124721,12.426453917044064
42200000007,nearest_neighbor,5.524978431167819,True,3,0.3687999997055158,0.0
42200000007,nearest_neighbor_2opt,4.856634892935553,True,3,0.5755000020144507,12.096762848194462
42200000007,initial_policy,4.888458633066278,True,3,47.51439999381546,11.520765303096388
42200000007,gnn_reinforce,4.715978118799467,True,4,45.76720000477508,14.642596753040225
42200000007,gnn_reinforce_2opt,4.5653696195608315,True,4,45.975500004715286,17.368553082372014
42200000008,nearest_neighbor,6.312315366333965,True,3,0.32410000858362764,0.0
42200000008,nearest_neighbor_2opt,6.076636824880612,True,3,0.5212000105530024,3.7336306533465966
42200000008,initial_policy,6.3123994165761275,True,4,44.33410000638105,-0.0013315279304785392
42200000008,gnn_reinforce,5.706373167651998,True,4,48.172800001339056,9.59936510640283
42200000008,gnn_reinforce_2opt,5.696725659964286,True,4,48.383100001956336,9.752201381649254
42200000009,nearest_neighbor,5.284934301727002,True,3,0.3527999942889437,0.0
42200000009,nearest_neighbor_2opt,5.244380368729916,True,3,0.5541999998968095,0.7673498038345288
42200000009,initial_policy,5.284934301727002,True,3,47.23720000765752,0.0
42200000009,gnn_reinforce,5.288647702750324,True,4,52.86080000223592,-0.07026390133379817
42200000009,gnn_reinforce_2opt,5.288647702750324,True,4,53.06109999946784,-0.07026390133379817
42200000010,nearest_neighbor,4.832979356434277,True,3,0.34699999378062785,0.0
42200000010,nearest_neighbor_2opt,4.5308002097841324,True,3,0.5452999903354794,6.252440251950278
42200000010,initial_policy,4.869310995979618,True,3,51.10969999805093,-0.7517441492269648
42200000010,gnn_reinforce,4.381163491446166,True,3,44.24990000552498,9.34859910764145
42200000010,gnn_reinforce_2opt,4.333210321151811,True,3,44.44779999903403,10.340806331339062
42200000011,nearest_neighbor,5.60942347711915,True,3,0.36439999530557543,0.0
42200000011,nearest_neighbor_2opt,5.556551460960323,True,3,0.5572999943979084,0.9425570448459104
42200000011,initial_policy,5.60942347711915,True,3,43.068099999800324,0.0
42200000011,gnn_reinforce,5.52611950388199,True,5,43.934699991950765,1.4850719254297198
42200000011,gnn_reinforce_2opt,5.3567017742255185,True,5,44.165099985548295,4.5053061856442795
42200000012,nearest_neighbor,4.674184579280972,True,2,0.35620000562630594,0.0
42200000012,nearest_neighbor_2opt,4.361838483043194,True,2,0.5652999971061945,6.682365468028342
42200000012,initial_policy,4.537695160406526,True,3,51.09959999390412,2.920069084979148
42200000012,gnn_reinforce,3.753686656121327,True,2,63.06679999397602,19.693230071398776
42200000012,gnn_reinforce_2opt,3.6614261215784563,True,2,63.26729999273084,21.667061720063867
42200000013,nearest_neighbor,6.317968463966468,True,3,0.35409998963586986,0.0
42200000013,nearest_neighbor_2opt,5.880816647238047,True,3,0.6007999909343198,6.919183266292749
42200000013,initial_policy,5.527030875408136,True,3,46.96880000119563,12.518859393954235
42200000013,gnn_reinforce,5.7713696749589465,True,4,43.90439999406226,8.651496001047828
42200000013,gnn_reinforce_2opt,5.487757221065582,True,4,44.142200000351295,13.140477791807044
42200000014,nearest_neighbor,6.330002087145486,True,3,0.3448000061325729,0.0
42200000014,nearest_neighbor_2opt,5.445521751878413,True,3,0.5515000084415078,13.972828493425174
42200000014,initial_policy,6.129313720634785,True,4,42.758899988257326,3.1704312849792573
42200000014,gnn_reinforce,5.056288995289727,True,3,47.97260000486858,20.121843157719074
42200000014,gnn_reinforce_2opt,4.640247577827539,True,3,48.23040000337642,26.694375231714048
42200000015,nearest_neighbor,6.937229102502469,True,3,0.35110001044813544,0.0
42200000015,nearest_neighbor_2opt,6.271972121615699,True,3,0.5377000052249059,9.589664274555844
42200000015,initial_policy,6.226657956903567,True,4,42.75680000137072,10.242866930004908
